eco_year,sumallPC1,sumallPC2,fal_meanT,spr_meanT,sum_meanT,wnt_meanT,MAT,sum_GDD,GDD,fivedayrunning5C,fivedayrunning12C,GSLthreeday0C,GSLthreedayneg3C,fal_precip,spr_precip,sum_precip,wnt_precip,tot_precip,moisturedeficit,pet,sum_moisturedeficit,fal_moisturedeficit,spr_PET,sum_PET,fal_PET,sdl_meltout,dm_meltout,ff_meltout,mm_meltout,sb_meltout,wm_meltout,iceoff_Albion,iceoff_Arikaree,iceoff_GL1,iceoff_GL2,iceoff_GL3,iceoff_GL4,iceoff_GL5,iceoff_Silver,iceon_Albion,iceon_Arikaree,iceon_GL1,iceon_GL2,iceon_GL3,iceon_GL4,iceon_GL5,iceon_Silver,lag_PC1
1996,0.056692644,0.705569932,-1.388791209,-3.743913043,9.102065217,-10.62296703,-1.639672131,448.5898444,584.7443444,65,38,108,114,212.16,286.65,124,416.91,1039.72,63.67515444,309.11788,37.09988105,26.5752734,33.83840622,215.1400023,59.29813561,153.8101266,87.81818182,97.75,157.9615385,191.173913,147.4,153,NA,167,154,153,199,199,142,310,261,310,310,310,275,275,NA,-0.845277821
1997,-0.470491049,-0.40823198,-1.478571429,-4.37673913,8.283478261,-11.59744444,-2.243561644,388.6371867,521.0000074,66,50,118,138,235.17,306.93,207,449.28,1198.38,26.09839742,297.3585623,7.497459905,18.60093752,24.2931231,204.5648124,67.02599394,155.5,138.75,128,160.0454545,178.9444444,147,165,NA,169,171,169,200,211,147,308,268,296,296,296,291,289,NA,0.056692644
1998,-0.893731999,-0.818218849,-1.287142857,-4.390869565,7.893478261,-10.99366667,-2.148821918,381.2895023,537.7800023,62,55,107,122,195,200.46,310,281.58,987.04,21.747603,296.8796236,0.091308337,21.65629466,26.19994662,191.4598742,79.2198028,160.6521739,139,150,160.68,175.2352941,147,168,NA,169,177,171,200,206,155,298,267,292,292,292,283,281,NA,-0.470491049
1999,-0.695990189,-1.368205472,0.228131868,-4.707391304,8.0025,-10.21466667,-1.631260274,359.5015,515.77,80,51,92,133,145.47,361.53,367,342.03,1216.03,15.68142211,311.4235169,1.108679938,14.57274217,21.28577742,207.2792538,81.96155346,157.2857143,135.75,137,164,174.5263158,152,173,NA,173,177,174,195,202,151,313,257,299,301,301,289,299,NA,-0.893731999
2000,0.411824938,0.07144644,1.056813187,-2.687282609,10.22532609,-9.593626374,-0.22773224,535.2815645,722.6475645,58,29,117,129,121.68,371.28,160,439.14,1092.1,39.62556536,345.63537,21.53704627,18.08851909,37.99852575,211.4579148,95.49050581,128.2597403,61,94,139.0384615,158.4736842,133,145,NA,142,151,145,183,190,135,309,272,307,307,307,305,300,311,-0.695990189
2001,0.240089707,-0.623327325,0.046923077,-1.790652174,10.47467391,-9.272444444,-0.085808219,548.4368712,774.487763,48,37,86,110,115.44,302.64,246,302.64,966.72,17.24527471,338.8352339,1.720788535,15.52448617,42.44863445,216.608137,79.77846251,134.6956522,115.3125,117,142.6666667,154.7,134.6,139,NA,153,159,155,183,195,132,298,256,287,287,299,284,284,359,0.411824938
2002,1.178989596,0.300366224,1.464835165,-2.291630435,11.35195652,-9.903777778,0.206876712,622.7039433,857.5418197,37,28,106,131,166.53,168.09,161,359.19,854.81,41.20025674,347.6922831,33.81129725,7.388959492,38.05938245,225.5536317,84.07926898,107.5853659,84,92,113,120.5789474,99.2,139,NA,122,139,141,159,173,104,296,273,296,291,291,291,296,309,0.240089707
2003,0.444172308,-0.214588141,-0.473626374,-1.996521739,10.22597826,-9.051111111,-0.275589041,548.2591587,758.8607323,41,24,96,141,166.14,435.63,204,252.72,1058.49,37.39342772,314.2487254,21.73750819,15.65591952,45.67554927,208.8397401,58.58098596,117.24,83.375,85.16666667,145.3846154,156.2,141,158,NA,163,166,159,193,199,149,NA,268,304,303,303,301,301,NA,1.178989596
2004,-0.077480067,-0.329573996,0.716923077,-1.14423913,8.761413043,-9.288681319,-0.216530055,430.1027753,653.6067526,20,34,92,115,154.05,296.79,271,235.95,957.79,22.17352775,341.4827499,3.620668834,18.55285892,51.18041654,206.8801323,82.59989939,145.9268293,124.5625,125.75,151.8076923,162.7647059,138.4,152,NA,152,164,160,189,197,145,311,260,305,305,305,301,295,316,0.444172308
2005,0.294237222,-0.243809635,-0.102637363,-2.760543478,9.702608696,-7.631333333,-0.157506849,505.1445,683.5296062,45,20,94,145,182.52,274.56,215,289.38,961.46,27.28178838,311.4224809,21.57969065,5.702097725,35.82203444,204.9641559,69.21757783,146.4756098,96.3125,94.125,165.44,178.0555556,153.8,149,NA,150,163,161,196,204,140,312,258,307,311,311,309,308,319,-0.077480067
2006,0.708968646,-0.000282106,1.432527473,-1.755326087,10.78054348,-10.33277778,0.084191781,560.0875,815.5175,41,20,109,111,204.75,259.35,219,391.17,1074.27,63.21378082,360.8269571,27.64435782,35.56942301,44.35227936,224.9495614,91.13269568,127.7457627,79.45454545,118.75,133.8571429,156.4545455,128.6,158,NA,158,158,152,186,189,130,295,257,295,295,290,288,288,325,0.294237222
2007,0.56465547,-0.337492434,-0.973956044,-1.09,11.06293478,-9.249111111,-0.00969863,599.833,769.6782414,47,41,110,122,207.48,234,228,299.13,968.61,45.18930911,320.7599794,22.69768738,22.49162172,42.45752138,220.9688385,57.33361949,156.6022727,145.1875,146.25,157.9615385,164.9565217,161.4,160,NA,154,157,155,182,188,143,313,280,296,308,295,293,293,320,0.708968646
2008,0.108127426,-0.580973273,1.709230769,-4.501521739,9.930978261,-11.68043956,-1.114398907,525.2375,732.3465,66,31,65,122,89.7,346.71,239,409.11,1084.52,14.1770283,320.6172062,10.4159308,3.7610975,24.23556169,212.0496695,84.33197493,146.7272727,90.375,80.25,164.1538462,183.9130435,150.8,166,NA,162,168,166,192,205,157,313,262,308,308,308,310,305,319,0.56465547
2009,-0.100497312,0.123859874,1.173296703,-2.355326087,9.152934783,-9.296,-0.286273973,454.287,658.1263422,53,51,103,135,121.68,241.02,153,345.54,861.24,26.17859696,333.2650717,20.49632731,5.682269649,40.42376174,207.2555407,85.54689002,162.7272727,145.1875,149.5,163.1923077,178.6086957,159,166,NA,153,170,154,196,203,140,307,264,303,307,295,295,294,327,0.108127426
2010,0.575767594,-0.283536686,-0.092197802,-3.320652174,10.49728261,-10.99233333,-0.924520548,542.3906381,707.3201381,42,28,117,153,156.39,280.8,192,315.9,945.09,53.30614461,305.0675728,23.50775593,29.79838868,23.75480359,214.4640061,66.84876313,167.5113636,162.5,148.5,169.5,175.7391304,166,163,NA,157,164,163,191,196,145,NA,266,NA,NA,NA,300,292,NA,-0.100497312
2011,0.089574822,-1.560119275,1.242747253,-3.460326087,10.70652174,-10.08444444,-0.35030137,567.1529421,815.1578053,67,34,118,140,232.05,428.22,313,492.18,1465.45,55.90086567,335.0635392,5.164738198,50.73612747,18.20877479,220.8780764,95.97668803,168.6818182,128,97.125,185.4615385,198.6956522,178.8,178,NA,178,181,179,217,222,163,NA,258,NA,NA,NA,299,297,NA,0.575767594
2012,1.141953286,-0.699761217,0.10043956,0.365108696,11.73815217,-9.241868132,0.769480874,642.032,900.5075,15,31,122,146,173.55,90.09,270,323.31,856.95,38.40748321,357.1034364,19.05897924,19.34850397,57.70668652,226.7304961,72.31796357,108.8589744,78.875,66,114.9166667,138.75,103,126,NA,129,129,141,168,176,108,301,276,300,300,299,297,296,319,0.089574822
2013,0.652582026,-0.527095312,1.540879121,-3.842391304,10.90152174,-10.26488889,-0.367616438,573.412,781.0515,58,15,114,133,106.47,265.2,177,234.78,783.45,24.82232135,326.8412428,5.639948016,19.18237334,27.39355687,221.5728588,77.46266682,141.0588235,134,137.3333333,144,154,142,162,NA,162,166,162,188,194,155,295,266,293,293,293,288,285,309,1.141953286
2014,0.019693773,-0.197504919,0.425164835,-2.920543478,9.274565217,-10.31555556,-0.836,466.1,664.8825,50,33,114,139,294.06,356.07,182,335.79,1167.92,14.07842598,314.2665837,11.69746076,2.38096522,39.06660217,205.1574376,69.89762325,158.5308642,134.8125,140.75,162.9130435,178.6842105,152.6,164,NA,172,165,160,196,202,144,310,273,307,307,305,304,299,322,0.652582026
2015,0.699850889,0.120473426,1.181758242,-1.483913043,10.51326087,-7.779666667,0.652246575,533.959,751.014,15,33,145,156,141.57,276.21,154.89,342.59,915.26,37.36017617,337.0570759,26.64403728,10.71613889,27.67948589,213.8415282,92.35787536,160.5555556,150.375,146.375,162.3333333,171.0526316,157.2,172,NA,164,171,168,189,193,141,310,281,304,300,302,296,296,323,0.019693773
2016,0.665573797,0.167982853,2.138241758,-2.812065217,10.8598913,-9.04956044,0.304562842,572.2005,827.011,52,34,116,130,184.44,321.6,167,284.8,957.84,98.93224472,347.3526231,33.69642528,65.23581945,26.38559426,219.142604,101.8244249,154.375,135.375,129.5,158.4615385,171.5652174,143.6,157,NA,160,162,164,182,189,149,NA,NA,322,324,324,316,310,NA,0.699850889
2017,0.537576592,0.125702652,2.757142857,-1.115543478,10.48217391,-9.030444444,0.821616438,536.0155,798.957,16,32,118,126,94.77,284.57,187.71,459.74,1026.79,58.67266022,363.6929586,26.07416891,32.59849131,44.76596042,218.9653593,99.00686055,166.3448276,143.875,146.5,171.6538462,185.4545455,157,169,NA,173,172,169,199,NA,148,300,NA,294,294,296,290,289,313,0.665573797
2018,1.189535264,0.372718931,1.611318681,-0.989565217,11.25119565,-8.128333333,0.983972603,605.525,860.0015,52,8,140,157,133.14,240.40346,126.462,349.24572,849.25118,57.01977777,339.8761283,44.32410994,12.69566782,48.51757869,217.2204512,74.13809847,NA,NA,NA,NA,NA,NA,173,NA,173,173,173,177,184,116,304,NA,296,296,296,296,296,NA,0.537576592
