JarID,Treatment,Number,Week,Days,WeekPoint,CO2_Week,Reset,WeekPointBuildup,DailyBuildup,CO2_Cum,Rate
Jar8,Deschampsia,3,3,21,2,6596,592,1335,445,21191,831.8571429
Jar9,Deschampsia,4,3,21,2,11103,505,1526,508.6666667,51413,1497.857143
Jar10,Deschampsia,5,3,21,2,10383,487,29,9.666666667,37354,1396.571429
Jar6,Deschampsia,1,4,25,1,4506,NA,3998,999.5,29751,NA
Jar7,Deschampsia,2,4,25,1,3881,NA,3288,822,25477,NA
Jar8,Deschampsia,3,4,25,1,3912,NA,3320,830,24511,NA
Jar9,Deschampsia,4,4,25,1,7128,NA,6623,1655.75,58036,NA
Jar10,Deschampsia,5,4,25,1,6860,NA,6373,1593.25,43727,NA
Jar6,Deschampsia,1,4,28,2,5378,547,872,290.6666667,30623,695.7142857
Jar7,Deschampsia,2,4,28,2,3919,545,38,12.66666667,25515,475.1428571
Jar8,Deschampsia,3,4,28,2,4456,565,544,181.3333333,25055,552
Jar9,Deschampsia,4,4,28,2,8512,546,1384,461.3333333,59420,1143.857143
Jar10,Deschampsia,5,4,28,2,7842,498,982,327.3333333,44709,1050.714286
Jar6,Deschampsia,1,5,32,1,6519,NA,5972,1493,36595,NA
Jar7,Deschampsia,2,5,32,1,4265,NA,3720,930,29235,NA
Jar8,Deschampsia,3,5,32,1,4646,NA,4081,1020.25,29136,NA
Jar9,Deschampsia,4,5,32,1,11223,NA,10677,2669.25,70097,NA
Jar10,Deschampsia,5,5,32,1,8522,NA,8024,2006,52733,NA
Jar6,Deschampsia,1,5,35,2,6166,NA,-353,-117.6666667,36242,802.7142857
Jar7,Deschampsia,2,5,35,2,4313,NA,48,16,29283,538.2857143
Jar8,Deschampsia,3,5,35,2,4647,NA,1,0.333333333,29137,583.1428571
Jar9,Deschampsia,4,5,35,2,9761,NA,-1462,-487.3333333,68635,1316.428571
Jar10,Deschampsia,5,5,35,2,7443,NA,-1079,-359.6666667,51654,992.1428571
Jar11,Oxyria,1,1,0,0,405,NA,NA,NA,405,0
Jar12,Oxyria,2,1,0,0,405,NA,NA,NA,405,0
Jar13,Oxyria,3,1,0,0,405,NA,NA,NA,405,0
Jar14,Oxyria,4,1,0,0,405,NA,NA,NA,405,0
Jar15,Oxyria,5,1,0,0,405,NA,NA,NA,405,0
Jar11,Oxyria,1,1,4,1,3043,NA,2638,659.5,3043,NA
Jar12,Oxyria,2,1,4,1,19851,NA,19446,4861.5,19851,NA
Jar13,Oxyria,3,1,4,1,27450,NA,27045,6761.25,27450,NA
Jar14,Oxyria,4,1,4,1,28030,NA,27625,6906.25,28030,NA
Jar15,Oxyria,5,1,4,1,14164,NA,13759,3439.75,14164,NA
Jar11,Oxyria,1,1,7,2,22268,623,19225,6408.333333,22268,3123.285714
Jar12,Oxyria,2,1,7,2,24214,651,4363,1454.333333,24214,3401.285714
Jar13,Oxyria,3,1,7,2,38554,591,11104,3701.333333,38554,5449.857143
Jar14,Oxyria,4,1,7,2,32561,606,4531,1510.333333,32561,4593.714286
Jar15,Oxyria,5,1,7,2,20212,927,6048,2016,20212,2829.571429
Jar11,Oxyria,1,2,11,1,24000,NA,23377,5844.25,45645,NA
Jar12,Oxyria,2,2,11,1,11091,NA,10440,2610,34654,NA
Jar13,Oxyria,3,2,11,1,27208,NA,26617,6654.25,65171,NA
Jar14,Oxyria,4,2,11,1,23934,NA,23328,5832,55889,NA
Jar15,Oxyria,5,2,11,1,12226,NA,11299,2824.75,31511,NA
Jar11,Oxyria,1,2,14,2,25505,824,1505,501.6666667,47150,3554.571429
Jar12,Oxyria,2,2,14,2,15978,754,4887,1629,39541,2189.571429
Jar13,Oxyria,3,2,14,2,30226,692,3018,1006,68189,4233.571429
Jar14,Oxyria,4,2,14,2,29596,668,5662,1887.333333,61551,4141.428571
Jar15,Oxyria,5,2,14,2,14180,623,1954,651.3333333,33465,1893.285714
Jar11,Oxyria,1,3,18,1,13224,NA,12400,3100,59550,NA
Jar12,Oxyria,2,3,18,1,8152,NA,7398,1849.5,46939,NA
Jar13,Oxyria,3,3,18,1,14890,NA,14198,3549.5,82387,NA
Jar14,Oxyria,4,3,18,1,15051,NA,14383,3595.75,75934,NA
Jar15,Oxyria,5,3,18,1,7964,NA,7341,1835.25,40806,NA
Jar11,Oxyria,1,3,21,2,13730,586,506,168.6666667,60056,1843.714286
Jar12,Oxyria,2,3,21,2,8031,619,-121,-40.33333333,46818,1039.571429
Jar13,Oxyria,3,3,21,2,13594,675,-1296,-432,81091,1843.142857
Jar14,Oxyria,4,3,21,2,11481,595,-3570,-1190,72364,1544.714286
Jar15,Oxyria,5,3,21,2,7370,543,-594,-198,40212,963.8571429
Jar11,Oxyria,1,4,25,1,8764,NA,8178,2044.5,68234,NA
Jar12,Oxyria,2,4,25,1,4741,NA,4122,1030.5,50940,NA
Jar13,Oxyria,3,4,25,1,8278,NA,7603,1900.75,88694,NA
Jar14,Oxyria,4,4,25,1,6211,NA,5616,1404,77980,NA
Jar15,Oxyria,5,4,25,1,4333,NA,3790,947.5,44002,NA
Jar11,Oxyria,1,4,28,2,7902,684,-862,-287.3333333,67372,1045.142857
Jar12,Oxyria,2,4,28,2,4672,576,-69,-23,50871,579
Jar13,Oxyria,3,4,28,2,8404,605,126,42,88820,1104.142857
Jar14,Oxyria,4,4,28,2,7426,580,1215,405,79195,975.8571429
Jar15,Oxyria,5,4,28,2,5115,537,782,260.6666667,44784,653.1428571
Jar11,Oxyria,1,5,32,1,7600,NA,6916,1729,74288,NA
Jar12,Oxyria,2,5,32,1,5831,NA,5255,1313.75,56126,NA
Jar13,Oxyria,3,5,32,1,8695,NA,8090,2022.5,96910,NA
Jar14,Oxyria,4,5,32,1,9158,NA,8578,2144.5,87773,NA
Jar15,Oxyria,5,5,32,1,5720,NA,5183,1295.75,49967,NA
Jar11,Oxyria,1,5,35,2,7242,NA,-358,-119.3333333,73930,936.8571429
Jar12,Oxyria,2,5,35,2,5093,NA,-738,-246,55388,645.2857143
Jar13,Oxyria,3,5,35,2,8011,NA,-684,-228,96226,1058
Jar14,Oxyria,4,5,35,2,7646,NA,-1512,-504,86261,1009.428571
Jar15,Oxyria,5,5,35,2,4939,NA,-781,-260.3333333,49186,628.8571429
Jar16,Silene,1,1,0,0,405,NA,NA,NA,405,0
Jar17,Silene,2,1,0,0,405,NA,NA,NA,405,0
Jar18,Silene,3,1,0,0,405,NA,NA,NA,405,0
Jar19,Silene,4,1,0,0,405,NA,NA,NA,405,0
Jar20,Silene,5,1,0,0,405,NA,NA,NA,405,0
Jar16,Silene,1,1,4,1,3681,NA,3276,819,3681,NA
Jar17,Silene,2,1,4,1,3707,NA,3302,825.5,3707,NA
Jar18,Silene,3,1,4,1,5895,NA,5490,1372.5,5895,NA
Jar19,Silene,4,1,4,1,9082,NA,8677,2169.25,9082,NA
Jar20,Silene,5,1,4,1,9673,NA,9268,2317,9673,NA
Jar16,Silene,1,1,7,2,3883,741,202,67.33333333,3883,496.8571429
Jar17,Silene,2,1,7,2,10726,857,7019,2339.666667,10726,1474.428571
Jar18,Silene,3,1,7,2,6706,761,811,270.3333333,6706,900.1428571
Jar19,Silene,4,1,7,2,16286,669,7204,2401.333333,16286,2268.714286
Jar20,Silene,5,1,7,2,9925,638,252,84,9925,1360
Jar16,Silene,1,2,11,1,3353,NA,2612,653,6495,NA
Jar17,Silene,2,2,11,1,6987,NA,6130,1532.5,16856,NA
Jar18,Silene,3,2,11,1,4116,NA,3355,838.75,10061,NA
Jar19,Silene,4,2,11,1,21731,NA,21062,5265.5,37348,NA
Jar20,Silene,5,2,11,1,7751,NA,7113,1778.25,17038,NA
Jar16,Silene,1,2,14,2,3580,714,227,75.66666667,6722,405.5714286
