species,genus,family,species.relative,genus.relative
Silene acaulis,Silene,Caryophyllaceae,,
Oxyria digyna,Oxyria,Polygonaceae,,
Dechampsia cespitosa,Deschampsia,Poaceae,,
Trisetum spicatum,Trisetum,Poaceae,,
Luzula spicata,Luzula,Juncaceae,,
Erigeron simplex,Erigeron,Asteraceae,,
Carex pyrenaica,Carex,Cyperaceae,,
Kobresia myosuroides,Kobresia,Cyperaceae,,
Festuca brachyphylla,Festuca,Poaceae,,
Geum rossii,Geum,Rosaceae,,
