Plot,Year,BG,NAG,PHOS,BG:NAG,NAG:PHOS
89,2007,33.08469665,3.783049721,28.48091035,8.745509335,0.132827556
107,2007,15.59681135,2.571379019,18.27399966,6.065543521,0.140712437
119,2007,9.458949964,1.493043935,16.13344986,6.335346029,0.092543377
137,2007,6.271614913,1.355264466,25.83299183,4.627594887,0.052462544
89.15,2015,NA ,NA ,NA,NA,NA
107.15,2015,9.77854444,1.74860736,22.31078351,5.592189913,0.078374987
119.15,2015,40.40563539,7.18545647,60.12379481,5.623252407,0.119511027
137.15,2015,7.632628956,1.777328402,30.65648269,4.29443931,0.057975614
