Herbicide,variable,prob,lo,hi,label,value
0,AMF.Tot,18.333333,15.375496,21.560740,a,45.000000
2,AMF.Tot,13.000000,10.468543,15.846421,b,45.000000
4,AMF.Tot,4.833333,3.306701,6.744194,c,45.000000
0,FRE.Tot,1.000000,0.398635,2.015782,,45.000000
2,FRE.Tot,1.500000,0.723566,2.687478,NSD,45.000000
4,FRE.Tot,0.833333,0.299589,1.782447,,45.000000
0,DSE.Tot,6.333333,4.568974,8.469381,a,45.000000
2,DSE.Tot,5.833333,4.144197,7.898361,a,45.000000
4,DSE.Tot,1.333333,0.611528,2.467396,b,45.000000
