OID_,Aspect,Slope,Elevation,Mean,CV,Trend,Solar,Cover_1972,Cover_2008,1972B,1972T,1972S,1972O,1972C,2008T,2008S,2008B,2008O,2008C,Texpand,Sexpand,Bexpand,Oexpand,X,Y
1264,180.36699,14.93894,3182.00903,0.07846917,1.223159559,-0.002087657,27.02598,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451104,4432016
301,205.29622,15.74037,3182.29419,0.11162333,0.80981632,0.016805175,27.46719,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,450367,4431712
113,40.13414,9.34511,3182.33325,0.07852833,1.228248703,7.05E-05,24.37825,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451977,4431963
1252,246.44153,4.28659,3183.5686,0.129335,0.804857632,0.011411888,26.5818,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451849,4432033
1108,179.79068,16.95549,3184.0127,0.081345,1.248589071,-0.001138881,27.04449,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451639,4431896
1717,96.30238,6.7473,3184.09375,0.07787833,1.091975991,0.000836364,25.41074,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451933,4431949
1446,209.83984,11.66579,3184.8313,0.05168,1.417306434,-0.009583846,27.31601,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451498,4431962
175,245.30585,15.64259,3187.14844,0.063085,1.313497293,-0.000987832,27.20791,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452226,4432285
1050,160.98875,6.79533,3187.59741,0.07876417,1.223909081,5.77E-06,26.44402,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451876,4432168
1379,291.48672,34.05804,3188.82324,0.10845083,0.949938836,0.006106119,23.11217,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,449884,4431782
1395,334.76208,8.27869,3189.23242,0.07783917,1.240821253,-0.001054441,25.25772,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451717,4431980
469,175.47021,21.55839,3189.39966,0.04279833,1.673694178,-0.007436923,26.745,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451401,4432013
1752,258.29532,28.26188,3189.47803,0.06124917,1.310232467,-0.001595559,26.34688,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452221,4432326
48,92.92145,29.92148,3189.83643,0.1297725,0.832571298,0.011191503,20.36195,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,449218,4431511
159,164.90268,11.76418,3191.25098,0.08633,1.225249284,-0.00163965,26.66438,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451646,4431959
1102,188.42297,5.84643,3191.64746,0.06401083,1.469861399,0.005759336,26.6259,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,450438,4431827
1075,189.33636,21.51781,3191.81274,0.088845,1.062551099,0.007977343,27.20797,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,450216,4431765
1077,39.78048,10.03417,3193.60205,0.07093083,1.266578956,-0.001106608,24.20834,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452001,4432283
641,0.24984,7.17972,3193.94556,0.08039833,1.220617228,-6.06E-05,25.05662,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451664,4432053
141,228.09964,5.50575,3194.02368,0.08375667,1.20120683,-0.00016972,26.81037,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451684,4432089
36,327.36887,25.50472,3195.34399,0.15513417,0.803459111,0.012061503,21.99445,B,B,1,0,0,0,0,0,0,1,0,0,0,0,0,0,449129,4431636
1719,180.77242,17.99589,3195.34717,0.089565,1.099996647,-0.001608042,27.10954,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,450761,4432107
9,212.18404,12.1773,3196.22192,0.16736667,0.762976589,0.005467343,27.34628,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,449877,4431872
593,182.92683,2.34432,3196.3606,0.07937667,1.222268966,-1.41E-05,25.93405,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451710,4432159
26,230.24168,10.68913,3196.68457,0.08980083,1.074480486,-0.001608636,27.12633,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,449643,4431664
802,186.10739,18.92704,3197.55615,0.0859825,1.103940388,0.012341853,27.19034,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,450308,4431781
1548,250.11984,1.56046,3197.78955,0.08166833,1.107128249,-6.73E-05,26.32812,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451707,4432120
927,257.61664,2.27403,3197.93872,0.03102167,1.443262983,-0.005075385,26.23305,S,S,0,0,1,0,0,0,1,0,0,0,0,0,0,0,449750,4431947
1523,216.74333,17.31508,3199.01392,0.09087583,1.099032592,-0.001829336,27.39312,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,449561,4431702
1048,244.78662,17.00606,3199.5415,0.121495,0.897858857,5.90E-05,27.13482,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,449109,4431597
1634,178.01942,8.46249,3200.13452,0.0577325,1.363121151,-0.00227465,26.83453,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452074,4432397
42,209.41,6.79368,3200.26025,0.083415,1.094820272,0.007936923,26.95394,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,450697,4432147
187,72.97242,30.61876,3200.29712,0.1314225,0.95816304,0.009534371,19.06091,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,449814,4431824
1156,161.2668,17.67178,3201.11426,0.09326,1.05048296,-0.000616014,26.37602,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451701,4432303
699,128.56372,9.03763,3204.09644,0.1059725,0.937205476,0.005193671,25.8397,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,449673,4431688
657,106.92921,4.71294,3204.11084,0.06822167,1.258718998,3.55E-05,25.7479,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451770,4432373
1224,23.50397,17.67101,3204.13306,0.13189083,0.804884676,-0.000912902,22.33319,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,449669,4431929
57,103.42036,21.20425,3204.18433,0.06439583,1.288984148,-0.001589476,23.54359,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452609,4432707
239,106.31927,2.83887,3204.66626,0.07217667,1.248343678,0.000404615,25.89353,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451910,4432406
1058,72.96429,7.47868,3206.09399,0.04612417,1.695402244,-0.006646958,24.97632,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452601,4432686
790,328.20749,5.13523,3206.31348,0.05829667,1.509774426,-0.007473916,25.62867,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452565,4432681
1056,118.55997,4.79728,3207.28809,0.15934083,0.885781073,0.004890105,25.86469,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,449708,4431815
1123,254.49454,9.71853,3207.29883,0.0870825,1.077876973,0.007962203,26.89013,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,450597,4432231
925,222.14856,19.97423,3208.31836,0.06096333,1.323967373,-0.002267343,27.62358,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452045,4432444
1141,183.07889,17.3534,3208.6897,0.06302917,1.257651027,-0.001957727,27.25676,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452412,4432581
561,154.23177,11.39047,3208.81689,0.06188583,1.259717188,-0.002230804,26.41509,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452147,4432438
93,156.41891,11.07716,3209.80005,0.05593833,1.400156654,-0.00112965,26.49267,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,452387,4432572
1024,25.80481,33.24065,3209.86426,0.06886167,1.244209355,-0.000196434,17.30881,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,451373,4432150
1182,171.21625,14.81471,3210.57202,0.08499333,1.097076539,-0.00174986,26.79681,O,O,0,0,0,1,0,0,0,0,1,0,0,0,0,0,449249,4431710
1626,155.87485,15.62333,3210.82397,0.07312667,1.24461499,-6.95E-05,26.32163,C,C,0,0,0,0,1,0,0,0,0,1,0,0,0,0,451902,4432447
